,Rank,Firm,Revenue(US$),Lawyers
0,6,Dentons (verein),2360000000,8658
1,7,Clifford Chance,2092047000,2174
2,8,Sidley Austin,2036161000,1873
3,9,Hogan Lovells (verein),2036000000,2685
4,10,Allen & Overy,2027855000,2293
