,RANK,Group,Country,Vehicles
0,1.0,Toyota,Japan,10466051
1,2.0,Volkswagen Group,Germany,10382334
2,3.0,Hyundai / Kia,South Korea,7218391
3,4.0,General Motors ,United States ,6856880
4,,(with SAIC-GM-Wuling)[d],(China),-9027658
5,5.0,Ford,United States,6386818
